Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Protein Name],Comment [Protein Name Abbreviation],Protein Sequence (aa),UniProt ID,Addgene ID,Experimental Condition [Subcellular Localization],Channels
20130916_Landmark_PSS1/Meas_01,D19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,D20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,D21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,D22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,D23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,E23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,F23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,G23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,H18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
